"IDtree","plot","forest_type","sp","heigth","CII","thick","petiol","compound","pubes","LA","SLA","LDMC","dens","pheno","P","C","N","CN","NP","Legum"
"8-53",8,"MIX","Cafro","1/1.5",1.5,0.172666666666667,27.7466666666667,0,"No",60.0150666666667,116.7836478,466.1455655,0.497907891,"evergreen",0.412988254,442,30.759,14.36977795,74.47911578,"no"
"8-54",8,"MIX","Maarb","3/3.5",2,0.177666666666667,57.78,0,"Yes",59.6105333333333,358.0925764,176.501608566667,0.158209104,"evergreen",1.967020951,413,41.192,10.02621868,20.94131229,"no"
"8-55",8,"MIX","Caela","1.5/2",1.5,0.120333333333333,8.40666666666667,0,"Yes",144.6883,524.365291966667,203.6736926,0.160623210333333,"semideciduous",3.270696399,468,44.377,10.54600356,13.56805848,"no"
"8-56",8,"MIX","Caela","1/1.5",1,0.146666666666667,12.81,0,"Yes",129.9553,565.6985403,196.908694066667,0.127258289,"semideciduous",2.565467675,464,42.523,10.91174188,16.57514551,"no"
"8-58",8,"MIX","Machi","2/2.5",1,0.200333333333333,17.6066666666667,0,"No",74.5622,103.815230213333,405.807177666667,0.483602416333333,"evergreen",0.570423256,504,20.361,24.75320466,35.6945475,"no"
"8-59",8,"MIX","Machi","2/2.5",1,0.22,14.5633333333333,0,"No",77.2958,113.949311433333,392.677743533333,0.400108532666667,"evergreen",0.552198915,500,16.309,30.65791894,29.53464697,"no"
"8-6",8,"MIX","Sasap","3.5/4",2.5,0.157333333333333,29.23,1,"No",293.5135,208.850629966667,253.7153319,0.312941893666667,"evergreen",4.513337506,507,41.81,12.12628558,9.263654655,"no"
"8-60",8,"MIX","Caind","2/2.5",1,0.186,11.5,0,"No",41.3059666666667,130.551025133333,383.371721133333,0.412248481,"evergreen",1.073515103,455,37.524,12.12557297,34.9543289,"no"
"8-61",8,"MIX","Caela","1/1.5",1,0.132,8.67666666666667,0,"Yes",103.496366666667,556.596149533333,214.9013597,0.138166131,"semideciduous",2.397314899,466,42.752,10.90007485,17.83328507,"no"
"8-62",8,"MIX","Ocver","1/1.5",1.5,0.140666666666667,5.40333333333333,0,"No",27.1587333333333,184.5506114,432.214187966667,0.386464214333333,"evergreen",1.204870042,532,30.359,17.52363385,25.19690833,"no"
"9-1",9,"MIX","Retri","2/2.5",2,0.273333333333333,5.45333333333333,0,"Yes",22.6356,120.0560897,395.812819166667,0.305494900333333,"deciduous",0.695998575,504,16.952,29.73100519,24.35637171,"no"
"9-10",9,"MIX","Erhav","3.5/4",2.5,0.188333333333333,1.95666666666667,0,"No",8.3554,173.738931166667,365.4588883,0.307246570666667,"deciduous",1.224425448,479,27.021,17.72695311,22.06830971,"no"
